At Rest Pulse Time (Seconds),At Rest Pulse Amplitude (amps),Propofol Sedation Pulse Time (Seconds),Propofol Sedation Pulse Amplitude
,,4577.136,0.195241441
,,4581.878,2.552367328
,,4596.088,3.485342353
,,4601.074,0.922966212
,,4607.468,0.484339929
,,4612.8,0.203358933
,,4624.192,0.308871268
,,4627.552,0.300489286
,,4629.692,1.557719176
,,4633.464,0.207781633
,,4636.672,0.080178273
,,4640.446,0.323679553
,,4644.424,1.878424623
,,4655.31,0.281485564
,,4658.864,1.074021968
,,4675.24,0.111466861
,,4685.576,1.707779239
,,4692.754,0.078330569
,,4702.35,0.924259702
,,4720.118,0.236474595
,,4728.246,0.24439826
,,4741.536,0.325248424
,,4747.352,1.484581098
,,4760.02,2.579321304
,,4771.45,1.006493758
,,4778.456,0.444109583
,,4785.426,0.694459927
,,4796.534,0.036203521
,,4799.686,3.846380933
,,4811.292,0.29971138
,,4822.668,0.459455865
,,4831.578,1.887238652
,,4846.876,0.291270423
,,4857.726,4.041608958
,,4868.924,0.096553138
,,4879.104,0.420458537
,,4897.35,0.218130459
,,4916.4,0.037738309
,,4922.576,0.192155332
,,4929.7,0.075751472
,,4940.982,2.558344289
,,4968.556,0.153270656
,,4990.39,0.060039221
,,4995.614,0.162023258
,,4999.126,0.041791404
,,5006.042,0.07422589
,,5019.742,0.274073979
,,5025.31,0.093360013
,,5032.532,0.205020774
,,5036.656,0.076256784
,,5043.54,0.160507737
,,5055.522,0.456488223
,,5070.462,0.911219042
,,5082.33,0.057565906
,,5091.906,0.084358045
,,5095.012,0.083901634
,,5104.406,0.036867648
,,5114.864,0.086268765
,,5145.908,0.250100666
,,5179.756,0.093815099
,,5195.554,0.038487918
,,5219.25,0.059420871
,,5241.454,0.063319315
,,5274.966,0.056421665
,,5286.59,0.060084429
,,5297.066,0.047091116
,,5314.666,0.07014752
,,5339.284,0.089021063
,,5373.22,0.168199658
,,5383.886,0.106737049
,,5406.702,0.249133643
,,5414.406,0.387748207
,,5436.25,0.073797644
,,5448.464,0.09434865
,,5457.624,0.052902094
,,5463.29,0.199824052
,,5471.6,0.050236182
,,5476.65,0.079731625
,,5480.06,0.163220638
,,5486.108,0.119808584
,,5492.5,0.053134254
,,5512.97,0.056797177
,,5519.526,0.055644107
,,5522.58,0.604765501
,,5528.114,0.236386728
,,5533.568,0.037992983
,,5542.208,0.112977147
,,5565.24,0.698244211
,,5571.996,0.162648093
,,5577.4,0.247156575
,,5587.832,0.115333917
,,5590.63,0.158275528
,,5596.892,0.048603034
,,5599.41,0.266249364
,,5610.8,0.107063292
,,5613.106,0.511980685
,,5618.948,0.658686883
,,5625.062,0.980682102
,,5631.196,0.08181646
,,5636.808,0.56708869
,,5643.692,3.385709376
,,5651.724,1.16365002
,,5659.454,0.201152309
,,5667.888,0.257646999
,,5670.84,1.236048415
,,5676.342,2.01537985
,,5684.384,0.218670776
,,5692.814,0.158903524
,,5698.794,0.350362193
,,5704.446,0.042409627
,,5707.984,0.910153229
,,5717.048,0.055894459
,,5719.64,0.359148618
,,5727.848,0.405171157
,,5731.508,0.466841688
,,5736.626,1.357142937
,,5742.872,0.080669295
,,5747.956,0.069359701
,,5752.51,0.119999789
,,5755.756,0.050010581
,,5763.504,0.771546643
,,5776.856,0.045780428
,,5780.138,0.202879762
,,5785.414,0.102583646
,,5795.018,0.680970991
,,5808.248,1.036852285
,,5828.378,0.198957449
,,5832.636,2.481896283
,,5847.408,3.424847353
,,5856.11,0.060492206
,,5859.376,3.938012595
,,5870.124,0.07750497
,,5875.302,0.704724067
,,5880.328,1.094281201
,,5889.144,0.506827595
,,5903.018,4.466921954
,,5908.912,0.048182151
,,5920.16,1.552938056
,,5924.624,0.035614511
,,5934.904,3.306954308
,,5950.092,0.238302974
,,5959.972,0.056999454
,,5963.414,0.509480765
,,5976.176,0.060750831
,,5978.554,0.1292131
,,5982.416,2.325067572
,,5992.088,2.506334825
,,5995.612,0.119340891
,,6006.1,0.16989406
,,6015.25,1.082829734
,,6020.128,0.129933935
,,6026.358,1.195220175
,,6033.03,0.096270246
,,6035.478,0.848069407
,,6038.744,0.181600554
,,6057.73,0.148417132
,,6066.318,0.047224202
,,6069.328,0.525161206
,,6096.116,3.735431576
,,6111.068,0.21428915
,,6124.032,0.048646473
,,6133.258,0.64373977
,,6144.378,0.214446486
,,6149.424,1.633638861
,,6157.658,0.243825357
,,6173.03,1.449669843
,,6184.39,0.105920441
,,6189.796,0.04643978
,,6193.896,0.327699528
,,6199.856,0.146303567
,,6205.04,0.041468946
,,6225.218,2.477971724
,,6231.972,0.041202003
,,6235.398,0.084154998
,,6237.714,0.075663689
,,6242.474,0.634537852
,,6246.424,0.056092554
,,6253.388,0.060548142
,,6267.744,2.132161929
,,6279.082,3.063310239
,,6285.358,0.082384469
,,6288.86,1.051962863
,,6307.876,2.317266543
,,6316.332,4.401702583
,,6331.536,3.404406872
,,6336.988,0.206214451
,,6344.62,0.090600474
,,6350.71,0.085859256
,,6356.13,0.35266524
,,6361.744,1.885561139
,,6367.452,0.190693084
,,6372.888,1.418980456
,,6379.962,0.631816326
,,6390.2,5.32496267
,,6392.496,0.093919798
,,6399.076,0.037180355
,,6406.042,0.041471899
,,6411.402,0.157183803
,,6413.356,0.037516849
,,6418.44,0.354423296
,,6422.888,0.147541295
,,6426.914,0.128445742
,,6432.774,0.705228498
,,6445.8,0.188418009
,,6451.098,0.145286246
,,6455.988,0.06981602
,,6466.864,0.044566498
,,6470.484,0.049611001
,,6477.954,0.56792162
,,6490.45,0.162045417
,,6498.702,0.045226328
,,6526.736,0.123952151
,,6536.118,0.093266533
,,6553.682,0.049247277
,,6560.528,0.133159348
,,6563.874,0.050568972
,,6571.676,0.055704939
,,6573.72,0.068273126
,,6589.518,0.122189595
,,6592.926,0.056558314
,,6599.134,0.165859359
,,6615.64,0.035894332
,,6619.484,0.053640791
,,6642.582,0.100402786
,,6653.642,0.082144838
,,6666.408,0.323647634
,,6673.074,0.211330486
,,6693.06,0.07103971
,,6705.762,0.596707751
,,6717.27,0.064562168
,,6733.804,0.068378566
,,6741.466,0.29610348
,,6750.49,0.041466938
,,6753.68,0.064340701
,,6762.172,0.457327157
,,6764.612,0.045298532
,,6767.706,0.085861584
,,6776.742,0.042076194
,,6777.912,0.205992365
,,6787.998,0.062705148
,,6798.988,0.042078882
,,6800.372,0.109355939
,,6813.702,0.044487946
,,6818.904,0.039052171
,,6830.214,0.12269201
,,6842.502,0.079848337
,,6861.086,0.204705994
,,6873.582,0.081805939
,,6887.568,0.072270714
,,6898.602,0.043338278
,,6903.586,0.119319994
,,6920.212,0.035006664
,,6928.188,0.043814145
,,6931.508,0.247452465
,,6946.988,0.054435184
,,6964.86,0.360265332
,,6976.608,0.063766989
,,6979.346,0.092247855
,,6982.628,0.249363395
,,6998.05,0.211820005
,,7004.506,0.036287309
,,7010.214,0.071044736
,,7021.552,0.041741016
,,7030.24,0.09679781
,,7038.892,0.136020171
,,7044.404,0.055882754
,,7045.778,0.316003801
,,7062.992,0.10568586
,,7064.564,0.200488388
,,7075.36,0.039023485
,,7090.72,0.064905086
,,7122.81,0.110883717
,,7130.562,0.04577243
,,7145.02,0.056810467
,,7152.596,0.086519207
,,7162.432,0.041561265
,,7171.702,0.15219669
,,7176.16,0.057352045
,,7179.27,0.066519503
,,7209.172,0.03619694
,,7211.84,0.112881088
,,7251.726,0.040345129
,,7287.376,0.179938864
,,7303.186,0.064815008
,,7324.708,0.042860486
,,7342.452,0.042446464
,,7347.044,0.230977638
,,7358.78,0.051799299
,,7363.438,0.164064782
,,7401.538,0.040883625
,,7405.362,0.052597652
,,7424.562,0.05153987
,,7429.306,0.045858315
,,7447.888,0.099257129
,,7450.002,0.131428393
,,7468.022,0.041593017
,,7471.618,0.047758397
,,7485.422,0.063159975
,,7490.826,0.185520384
,,7498.862,0.060580211
,,7500.946,0.101690015
,,7509.57,0.067490874
,,7532.196,0.051472882
,,7552.342,0.137591101
,,7565.45,0.083604204
,,7568.472,0.038592683
,,7578.528,0.043962786
,,7661.806,0.055697865
,,7713.442,0.074013192
,,7740.272,0.05458009
,,7751.746,0.04689891
,,7762.464,0.046826873
,,7813.144,0.115695961
,,7823.574,0.047083372
,,7904.638,0.11083368
,,7907.736,0.045276799
,,7919.236,0.070286603
,,7938.274,0.057270601
,,7974.9,0.035928923
,,7979.45,0.091356713
,,8061.746,0.051815205
,,8130.45,0.079999983
,,8168.522,0.051278248
,,8216.174,0.08675149
,,8268.304,0.170892163
,,8289.858,0.112448476
,,8305.242,0.037053177
,,8307.996,0.084950672
,,8311.736,0.091723693
,,8324.506,0.068613133
,,8337.248,0.059706169
,,8360.92,0.049232914
,,8410.114,0.037177718
,,8429.318,0.075494352
,,8456.09,0.045933281
,,8475.892,0.037004027
,,8734.948,0.072505725
,,8775.126,0.048768985
,,9098.458,0.062700036
,,9171.758,0.037572186
,,9281.118,0.043834197
,,9284.294,0.128467643
,,9296.402,0.03708043
,,9300.508,0.195981935
,,9302.972,0.097128573
,,9313.248,0.085387426
,,9323.268,0.035666466
